Job Name,Company,Location,Avg Salary,Pay Type,Pay Min,Pay Max,Mentions python,Mentions tableau
Data Analyst II,Texas Civil Commitment Office,"austin, tx",89950,monthly,3763.0,4956.0,0,0
Business analyst,Dutech,"austin, tx",89950,hourly,55.0,60.0,0,0
Data Analyst with AIX and SQL,Dutech System,"austin, tx",89950,hourly,60.0,65.0,0,1
Data Analyst,Apex Clearing,"austin, tx",89950,unlisted,-1.0,-1.0,0,1
IT Public Safety Analyst I,Williamson County,"austin, tx",34817,monthly,5090.0,5455.0,0,0
Business Intelligence Analyst,Vetro Tech Inc,"austin, tx",89950,yearly,80000.0,94000.0,0,0
Senior Data Management Analyst,Pearson,"austin, tx",89950,yearly,90000.0,100000.0,0,0
Senior Data Analyst - Fully Remote,Allscripts,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
Data Analyst : 22-05742,Akraya Inc.,"austin, tx",89950,hourly,55.0,57.0,0,1
Senior Data Analyst,EvolutionIQ,"austin, tx",89950,unlisted,-1.0,-1.0,1,0
Data Analyst,TEXAS RESEARCH INTERNATIONAL INC,"austin, tx",89950,yearly,75000.0,75000.0,1,0
IT Apps Business Analyst- 100% remote within Texas,Health & Human Services Comm,"austin, tx",89950,monthly,4917.0,8060.0,0,0
Business Intelligence Analyst - SDS,Apple,"austin, tx",89950,unlisted,-1.0,-1.0,1,0
Senior Data Analyst,Cox Corporate Services,"austin, tx",89950,unlisted,-1.0,-1.0,0,1
Data Systems Analyst -100% remote in Texas,Health & Human Services Comm,"austin, tx",89950,monthly,4301.0,7040.0,0,1
SFDC Business Analyst,GLG,"austin, tx",89950,yearly,102500.0,150000.0,0,0
Business Analyst,Einride,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
Sr Data Center Operations Analyst,ServiceNow,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
Data Specialist,Health & Human Services Comm,"austin, tx",89950,monthly,4599.0,7533.0,0,1
Business Data Analyst II,Texas State Technical College,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
Product/Data Analyst,Fortress Trust,"austin, tx",89950,unlisted,-1.0,-1.0,1,0
Business/Data Systems Analyst 3,PayPal,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
Data Analyst,WINReality,"austin, tx",89950,unlisted,-1.0,-1.0,1,1
"Business Analyst, Senior - Data Analytics: 100% Remote US",Varis - US,"austin, tx",89950,yearly,89400.0,131000.0,0,1
"Analyst, Business Analysis",Recurrent Energy,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
Compensation Analyst,City of Austin,"austin, tx",89950,hourly,27.9,34.17,0,0
ITSM Analyst (Associate/IT Support Analyst),Texas Mutual Insurance Company,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
Data Analyst & Process Mining Architect,Process& GmbH,"austin, tx",89950,unlisted,-1.0,-1.0,1,0
Senior Policy and Data Research Analyst,Texas Comptroller of Public Accounts,"austin, tx",89950,yearly,60000.0,66000.0,0,0
Market Research Analyst,City of Austin,"austin, tx",89950,hourly,26.99,32.7,0,0
Senior Business Data Analyst,Deloitte,"austin, tx",89950,unlisted,-1.0,-1.0,0,1
"Classification Data Analyst - In Office, Round Rock, TX",Alight,"austin, tx",69417,unlisted,-1.0,-1.0,0,0
Data Analyst IV,Texas Department of Transportation,"austin, tx",89950,yearly,59004.0,59004.0,0,1
Research Analyst,University of Texas at Austin,"austin, tx",89950,unlisted,-1.0,-1.0,0,1
PEIMS Analyst,Leander Independent School District,"austin, tx",76000,yearly,69045.0,69045.0,0,0
Tableau Report Data Analyst,Dutech,"austin, tx",89950,hourly,60.0,70.0,0,1
Business Intelligence Analyst,Dutech,"austin, tx",89950,hourly,59.0,60.0,0,0
"Data Analyst II, Information Technology, Dell Medical School",University of Texas at Austin,"austin, tx",89950,unlisted,-1.0,-1.0,1,1
"eCommerce Product Data Analyst - Austin, TX or Remote",Other World Computing,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
Supplier Management Analyst - Data Entry,CTI Consulting,"austin, tx",89950,hourly,25.0,27.0,0,0
Business Intelligence and Data Analyst or Sr.,Teacher Retirement System of Texas,"austin, tx",89950,yearly,74000.0,112000.0,0,0
Business Analyst,National Western Life,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
COOP - Data Analyst,Ryder System,"austin, tx",89950,yearly,65000.0,75000.0,1,1
Business Analyst - Consultant,Deloitte,"austin, tx",89950,unlisted,-1.0,-1.0,0,1
Data Analyst/Report Writer,American Unit Inc,"austin, tx",89950,hourly,45.0,50.0,1,0
Business Analyst - Office of Admissions,University of Texas at Austin,"austin, tx",89950,yearly,55000.0,55000.0,0,0
Business Intelligence Analyst,"PetHonesty, LLC","austin, tx",89950,unlisted,-1.0,-1.0,0,1
Research Analyst I,Trellis Company,"austin, tx",69417,unlisted,-1.0,-1.0,0,0
Tableau Data Analyst,Dutech Systems,"austin, tx",89950,hourly,60.0,70.0,0,1
Customer Success Analyst - Information Technology Division,Texas Department of Transportation,"austin, tx",89950,yearly,105000.0,105000.0,0,0
Education Data Analyst (Data Analyst IV),TEXAS EDUCATION AGENCY,"austin, tx",89950,monthly,4917.0,6489.0,0,0
Financial Analyst,Texas Bond Review Board,"austin, tx",89950,monthly,4000.0,4167.0,0,0
Lead Data Analyst at Nood ($80k - $100k) + stock options,Nood,"austin, tx",89950,yearly,80000.0,100000.0,1,1
Senior Data Analyst,Taskrabbit,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
Intmd Assoc Infra Data Analyst- Officer,Citi,"austin, tx",34817,unlisted,-1.0,-1.0,0,0
"Analyst, Asset Management",Sparrow Partners,"austin, tx",89950,unlisted,-1.0,-1.0,0,1
"Business Information Analyst, Analytics - Remote",Navitus Health Solutions LLC,"austin, tx",89950,unlisted,-1.0,-1.0,1,1
"REMOTE - SENIOR ANALYST, BUSINESS INTELLIGENCE",MAGRABBIT,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
Data Analyst (Open Rank),New Meridian Corporation,"austin, tx",89950,unlisted,-1.0,-1.0,1,1
Business Analyst- Production Control,Tesla,"austin, tx",89950,unlisted,-1.0,-1.0,0,1
Systems Analyst V,Texas Comptroller of Public Accounts,"austin, tx",89950,monthly,4917.0,6489.0,0,0
Workforce Optimization Data Analyst,Pearson,"austin, tx",89950,unlisted,-1.0,-1.0,1,1
Case Analyst,Aperture LLC,"austin, tx",74719,unlisted,-1.0,-1.0,0,0
Clinical Systems Analyst,Invitae,"austin, tx",89950,unlisted,-1.0,-1.0,1,0
"Data Analyst III - Transportation Planning and Programming - Austin, TX",Texas Department of Transportation,"austin, tx",89950,yearly,84479.0,84479.0,0,1
"Senior Data and Reporting Analyst, Spectrum Enterprise",Spectrum,"austin, tx",89950,unlisted,-1.0,-1.0,0,1
BI Reporting Analyst,Lower Colorado River Authority,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
"Business Analyst, Consumer Experience",Texas Capital Bank,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
Senior Technical Data Quality Analyst,MyFitnessPal,"austin, tx",89950,unlisted,-1.0,-1.0,1,0
BrightDrop Solution Implementation Analyst,General Motors,"austin, tx",89950,yearly,69408.0,113244.0,0,0
Business Intelligence Analyst,Fagron,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
Information Technology BA I,Health & Human Services Comm,"austin, tx",89950,monthly,3763.0,4956.0,0,0
Sr. Business Analyst,Dutech Systems,"austin, tx",89950,hourly,60.0,65.0,0,0
"Senior Analyst, Data Onboarding",S&P Global,"austin, tx",89950,yearly,70000.0,139000.0,0,0
Information Technology BA I,Health & Human Services Comm,"austin, tx",89950,monthly,3763.0,4956.0,0,0
Enabling Tech & Analytics Reporting and Functional Analyst - National_Office,Deloitte,"austin, tx",89950,unlisted,-1.0,-1.0,1,1
Senior Business Intelligence Analyst,Vital Farms,"austin, tx",89950,unlisted,-1.0,-1.0,1,0
Business Analyst III,Health & Human Services Comm,"austin, tx",89950,monthly,4917.0,8060.0,0,0
IT Business Analyst,e2open,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
Data Analyst (Managed Services Consultant),"DeWolff, Boberg & Associates","austin, tx",89950,unlisted,-1.0,-1.0,0,0
Business Analyst,IntegrateUs Services,"austin, tx",89950,hourly,50.0,60.0,0,0
Business Analyst,Spectrum,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
WIC Vendor Reporting and IT Analyst,Health & Human Services Comm,"austin, tx",89950,monthly,4301.0,6000.0,0,0
Business Intelligence Analyst,Kestra Financial,"austin, tx",89950,unlisted,-1.0,-1.0,0,1
Senior Business Analyst,FIS Global,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
Sr. Business Analyst/Data Analyst,Dutech,"austin, tx",89950,hourly,55.0,65.0,0,0
Senior Data Analyst,Unity Technologies,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
Business Analyst,Whitney Logistics,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
Sales Business Analyst,Vital Farms,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
Senior Data Analyst,Ryder System,"austin, tx",89950,yearly,70000.0,95000.0,1,0
Business Analyst 2,The Teltech Group,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
IT Business Analyst III - 100% remote in Texas,Health & Human Services Comm,"austin, tx",89950,monthly,4917.0,5303.0,0,0
Cybersecurity Analyst I (GRC Analytics and Reporting Specialist),Texas Department of Information Resources,"austin, tx",89950,monthly,5259.0,6667.0,0,0
Service Management Consultant - ServiceNow Business Analyst,Capgemini,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
Compliance Quantitative Data Analyst,Global Payments (Beamery),"austin, tx",89950,unlisted,-1.0,-1.0,1,1
SAS Programmer / Researcher (Data Analyst V),TEXAS EDUCATION AGENCY,"austin, tx",89950,monthly,5785.0,7784.0,0,0
TCEQ - Central Registry Data Analyst II,TEXAS COMMISSION ON ENVIRONMENTAL QUALITY,"austin, tx",89950,monthly,3763.0,4336.0,0,0
TCEQ - Data and Reporting Analyst III,Texas Comptroller of Public Accounts,"austin, tx",89950,monthly,4301.0,5019.0,0,0
Data Analyst - CAG,Continental Auto Group,"austin, tx",89950,hourly,26.0,30.0,1,0
Business Analyst 3,The Teltech Group,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
Services Business Analyst - Remote,Altera Digital Health,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
Business Analyst,Planned Systems International,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
Information Technology BA II,Health & Human Services Comm,"austin, tx",89950,monthly,4301.0,5671.0,0,0
Sr Business Analyst,SalsaMobi Talent,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
Resource Adequacy Reporting Analyst 1/2,ERCOT/Electric Reliability Council of Texas,"austin, tx",89950,unlisted,-1.0,-1.0,1,1
Sales Operations Analyst,Arrive Logistics,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
Insurance Solutions Data & Analytics -- Functional Analyst,New York Life Insurance Co,"austin, tx",89950,yearly,70000.0,105000.0,0,0
Business Analyst I,Silicon Labs Careers,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
Business Analyst,Natera,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
JOB ID 2021072301: Business Intelligence Analyst,Conquest Consulting,"austin, tx",74719,unlisted,-1.0,-1.0,0,1
"Analyst, IT Data Center Operations",MAGRABBIT,"austin, tx",69417,unlisted,-1.0,-1.0,0,0
Business Analyst Sr.,Teacher Retirement System of Texas,"austin, tx",89950,yearly,81000.0,102000.0,0,0
TJJD - Data Analyst II / III / IV - Strategic Data Analyst - (AUS) - 27449,TEXAS JUVENILE JUSTICE DEPARTMENT,"austin, tx",89950,monthly,3763.0,5500.0,1,1
Value Based Care Data Analyst,CommUnityCare Health Centers,"austin, tx",89950,unlisted,-1.0,-1.0,0,1
Business Analyst w/Healthcare,Promantis Inc,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
Senior Data Analyst,Launch Potato,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
Business Analyst,Quatro Consulting,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
Senior Business Analyst,University of Texas at Austin,"austin, tx",89950,yearly,65130.0,65130.0,0,0
Investments Business Analyst III - IV (#1417),Employees Retirement System of Texas,"austin, tx",89950,monthly,5000.0,9783.0,0,0
Business Analyst,Southwestern University,"austin, tx",34817,unlisted,-1.0,-1.0,0,0
Data Analyst/Report,Dutech,"austin, tx",89950,hourly,60.0,70.0,1,0
EDI Analyst,SAIC,"austin, tx",89950,yearly,100001.0,125000.0,0,0
Content Analyst,Brightspot,"austin, tx",89950,unlisted,-1.0,-1.0,0,1
IT Business Analyst - Extended Warehouse Management,Kimberly-Clark,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
Administrative Assistant/Data Analyst IV,Bennett Aerospace,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
COS Sys Analyst V,Dept of Family & Protectve Svc,"austin, tx",89950,monthly,4917.0,8060.0,0,1
Senior Data Analyst,Cox Automotive,"austin, tx",89950,unlisted,-1.0,-1.0,0,1
Technical Business Analyst - 4655128,Accenture,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
R&D Automation Data Analyst,NXP Semiconductors,"austin, tx",89950,unlisted,-1.0,-1.0,1,0
Senior Data Analyst - Remote - USA,FullStack Labs,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
SALES BUSINESS ANALYST,Hyatt Regency Lost Pines Resort and Spa,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
Senior ETRM Business Analyst,TrailStone Group,"austin, tx",89950,unlisted,-1.0,-1.0,1,0
Project Controls Analyst,"Mears Group, Inc.","austin, tx",68690,yearly,55000.0,80000.0,0,0
Business Intelligence Analyst (PowerBI),Dutech,"austin, tx",89950,hourly,55.0,60.0,0,0
Lead GPS Data Reporting & Analytics,Deloitte,"austin, tx",89950,unlisted,-1.0,-1.0,1,1
Investments Business Analyst III - IV (#1417),Employees Retirement System of Texas,"austin, tx",89950,monthly,5000.0,9783.0,0,0
Sr Data Analyst/Report Writer,Dutech,"austin, tx",89950,hourly,55.0,65.0,1,0
SALES BUSINESS ANALYST,Hyatt Regency Lost Pines Resort and Spa,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
RPM- Management Analyst III #1203-23 (North Campus),Texas Dept of Licensing and Regulation,"austin, tx",89950,yearly,57048.0,67488.0,0,0
Senior ETRM Business Analyst,TrailStone Group,"austin, tx",89950,unlisted,-1.0,-1.0,1,0
Business Intelligence Consultant,City of Austin,"austin, tx",89950,unlisted,-1.0,-1.0,0,1
Sr. Business Information Analyst - Remote,Navitus Health Solutions LLC,"austin, tx",89950,unlisted,-1.0,-1.0,1,1
Business Intelligence Developer and Operations Analyst,Capital Metro,"austin, tx",89950,unlisted,-1.0,-1.0,0,1
R&D Data Visualization/WebGL/React/Systems Engineering Associate R18071,Applied Research Laboratories,"austin, tx",89950,yearly,42228.0,74880.0,1,0
"Assessment Business Analyst - Austin, TX",Projé General Job Board,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
Senior Business Analyst,triValence,"austin, tx",89950,yearly,85000.0,100000.0,0,0
AIX Data Analyst with Strong SQL Server,Dutech,"austin, tx",89950,hourly,55.0,65.0,0,1
IT Web and Mobile Application Lead Business Analyst,Tarrytown Expocare Pharmacy,"austin, tx",89950,yearly,70000.0,120000.0,0,0
Sr Business Analyst with Power BI,Dutech System,"austin, tx",89950,hourly,60.0,65.0,0,0
Client Services Analyst,RPM Living,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
HRIS Analyst,Greenberg Traurig,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
Senior Financial Analyst,LogicMonitor,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
Senior Business Analyst (IT Business Analyst III),Texas Comptroller of Public Accounts,"austin, tx",89950,monthly,4917.0,7274.0,0,0
Real Estate/Business Analyst,Mainstay Global,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
Business Analyst,MRP LLC,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
BUSINESS ANALYST,Snap IT Solutions,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
Sr. Research Analyst,Vereigen Media,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
Software Developer and Data Analyst,University of Texas at Austin,"austin, tx",89950,yearly,93000.0,175000.0,1,0
Data Insights Analyst II,Care.com,"austin, tx",89950,yearly,92800.0,139200.0,1,1
Business Analyst,Whitney Services LLC,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
SR. Digital Product Analyst,Ascension,"austin, tx",89950,unlisted,-1.0,-1.0,1,1
Senior Business Analyst - Remote - USA,FullStack Labs,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
Senior Business Analyst,Gotransverse,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
EDI Business Analyst,Bc&l Inc,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
Senior Business Analyst,Gotransverse,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
Business Analyst I - P&C insurance exp. required,PEAK6 InsurTech,"austin, tx",89950,yearly,63200.0,79000.0,0,0
SAS Programmer/Analyst,ATX Consulting,"austin, tx",89950,hourly,65.0,67.0,0,0
Business Process Consultant (Data Analytics Lead) - ARR Quality Assurance,City of Austin,"austin, tx",89950,hourly,32.89,41.93,0,0
"Compliance Analyst, Self-Reported Data Unit (Compliance Analyst III)",TEXAS EDUCATION AGENCY,"austin, tx",89950,monthly,4301.0,5671.0,0,0
Oracle SCP Business Analyst,The Wonderful Company,"austin, tx",89950,yearly,118750.0,125000.0,0,0
Team Lead - Data Analytics - Emerging Transportation Platforms - Remote USA,Siemens Healthineers,"austin, tx",89950,unlisted,-1.0,-1.0,1,0
Senior Business Analyst,Spiceworks,"austin, tx",89950,unlisted,-1.0,-1.0,0,1
Senior Data Reporting Analyst,"The Palisades Group, LLC","austin, tx",89950,unlisted,-1.0,-1.0,1,1
Public Sector Business Analyst,"CGI Group, Inc.","austin, tx",62751,unlisted,-1.0,-1.0,0,0
IT Business Analyst - Lending,Sunflower Bank NA,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
( SCTASK0899581) Business Analyst II-Salesforce,Promantis Inc,"austin, tx",89950,unlisted,-1.0,-1.0,0,1
Senior Competitive Intelligence Analyst,Whole Foods Market,"austin, tx",89950,unlisted,-1.0,-1.0,1,1
Compensation and Benefits Analyst,Upbring,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
Weatherization Project Management Analyst,ERCOT/Electric Reliability Council of Texas,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
Technical ELINT Data Analyst,CACI,"austin, tx",89950,unlisted,-1.0,-1.0,1,0
OAG - Grant Analyst (Statistician II) | Grants Administration | 23-0205,OFFICE OF THE ATTORNEY GENERAL,"austin, tx",89950,monthly,4325.0,4606.0,0,0
Business Analyst - Remote,NFP Corp,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
Sr. Salesforce Business Analyst,Wipro Limited,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
SAS Visual Analytics (VA) Programmer and Report Developer,Indigo Beam Consulting,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
Business Analyst - Technical,Citizens Inc,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
Business Data Analyst,MV Transportation,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
Senior Business Analyst,SunPower,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
Oracle eBusiness Suite Techno/Functional Analyst - Finance (Remote worker opening),BAE Systems,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
"IT Analyst III: Oracle E-Business Enterprise (ERP) $87,077 yr",Williamson County Technology Services,"austin, tx",34817,yearly,87077.0,87077.0,0,0
Continuous Improvement Sr. Analyst - Operating Systems,Collins Aerospace,"austin, tx",58601,unlisted,-1.0,-1.0,0,0
Sr. Salesforce Business Analyst (Experience Cloud),Zscaler,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
Power BI Consultant - Remote,KiZAN Technologies,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
"Audit Analytics - Data Analytics Support Specialist, Senior",Deloitte,"austin, tx",89950,unlisted,-1.0,-1.0,1,1
DPS - FIN - Senior Financial Data Analyst - 1159,TEXAS DEPARTMENT OF PUBLIC SAFETY,"austin, tx",89950,monthly,6000.0,7000.0,0,0
"Audit Analytics - Data Analytics Support Specialist, Senior",Deloitte,"austin, tx",89950,unlisted,-1.0,-1.0,1,1
Senior Business Analyst (IT Business Analyst III),TEXAS EDUCATION AGENCY,"austin, tx",89950,monthly,4917.0,7274.0,0,0
Energy Analyst Lead,Lower Colorado River Authority,"austin, tx",89950,unlisted,-1.0,-1.0,1,0
"IT Solutions Analyst/Senior Business Analysts, Texas McCombs",University of Texas at Austin,"austin, tx",89950,yearly,75000.0,90000.0,0,0
1362-IT Business Analyst II - III,Employees Retirement System of Texas,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
Third Party Risk Management Program Senior Analyst,Deloitte,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
Business Analyst,Genpact,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
SAS Visual Analytics Programmer,"PMCS Services, Inc","austin, tx",89950,hourly,50.0,60.0,0,0
SAS Visual Analytics Programmer,IntegrateUs Services,"austin, tx",89950,hourly,50.0,60.0,0,0
"Senior Business Analyst (Austin, TX)",Love's Travel Stops & Country Stores,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
Business Analyst,Open Lending,"austin, tx",89950,unlisted,-1.0,-1.0,0,0
SAS Visual Analytics (VA) Programmer and Report Developer,Dutech,"austin, tx",89950,hourly,50.0,58.0,0,0
CRM Business Analyst (IT Business Analyst IV),Texas Comptroller of Public Accounts,"austin, tx",89950,monthly,5785.0,8783.0,0,0
